x y r b
449 , 309 , 9 , 25
595 , 35 , 8 , 28
151 , 227 , 10 , 27
39 , 107 , 10 , 27
387 , 67 , 10 , 26
545 , 187 , 10 , 26
395 , 533 , 9 , 25
359 , 439 , 8 , 25
225 , 593 , 10 , 25
241 , 423 , 8 , 25
333 , 275 , 7 , 25
177 , 591 , 10 , 27
409 , 11 , 10 , 28
473 , 319 , 10 , 25
497 , 451 , 8 , 34
221 , 357 , 8 , 25
285 , 217 , 8 , 25
527 , 457 , 7 , 25
253 , 267 , 8 , 25
227 , 65 , 8 , 25
505 , 573 , 10 , 25
357 , 133 , 10 , 25
413 , 517 , 9 , 25
31 , 435 , 8 , 25
321 , 331 , 8 , 25
215 , 165 , 7 , 25
317 , 27 , 7 , 28
345 , 389 , 7 , 25
