x y r b
341 , 63 , 10 , 26
559 , 61 , 9 , 27
377 , 561 , 10 , 26
583 , 559 , 8 , 26
353 , 441 , 10 , 25
79 , 79 , 10 , 27
325 , 333 , 9 , 25
117 , 517 , 10 , 25
109 , 477 , 10 , 25
159 , 489 , 10 , 25
515 , 373 , 8 , 26
239 , 77 , 7 , 26
449 , 277 , 10 , 26
181 , 303 , 9 , 25
269 , 563 , 9 , 25
373 , 375 , 9 , 40
473 , 365 , 9 , 26
203 , 129 , 7 , 25
305 , 275 , 7 , 27
167 , 229 , 10 , 25
63 , 33 , 9 , 26
463 , 217 , 7 , 26
477 , 499 , 7 , 26
57 , 477 , 8 , 25
421 , 509 , 8 , 26
281 , 207 , 7 , 26
297 , 147 , 7 , 26
